LINE NUMBER: 2    	CLASS PART: IDENTIFIER          	VALUE: interface
LINE NUMBER: 2    	CLASS PART: Punctuators         	VALUE: :
LINE NUMBER: 2    	CLASS PART: Punctuators         	VALUE: :
LINE NUMBER: 2    	CLASS PART: IDENTIFIER          	VALUE: A_B_C
LINE NUMBER: 3    	CLASS PART: IDENTIFIER          	VALUE: while
LINE NUMBER: 3    	CLASS PART: Punctuators         	VALUE: (
LINE NUMBER: 3    	CLASS PART: IDENTIFIER          	VALUE: a
LINE NUMBER: 3    	CLASS PART: ClassPart.DOT       	VALUE: .
LINE NUMBER: 3    	CLASS PART: IDENTIFIER          	VALUE: b
LINE NUMBER: 3    	CLASS PART: ClassPart.DOT       	VALUE: .
LINE NUMBER: 3    	CLASS PART: IDENTIFIER          	VALUE: c
LINE NUMBER: 3    	CLASS PART: Operator            	VALUE: <
LINE NUMBER: 3    	CLASS PART: Operator            	VALUE: <
LINE NUMBER: 3    	CLASS PART: Operator            	VALUE: <
LINE NUMBER: 3    	CLASS PART: Operator            	VALUE: <
LINE NUMBER: 3    	CLASS PART: Operator            	VALUE: <=
LINE NUMBER: 3    	CLASS PART: Operator            	VALUE: =
LINE NUMBER: 3    	CLASS PART: DOUBLE_CONSTANT     	VALUE: 78.65
LINE NUMBER: 4    	CLASS PART: IDENTIFIER          	VALUE: b
LINE NUMBER: 4    	CLASS PART: Operator            	VALUE: ++
LINE NUMBER: 4    	CLASS PART: Operator            	VALUE: +=
LINE NUMBER: 4    	CLASS PART: ClassPart.INVALID   	VALUE: 56.75ab7.11
LINE NUMBER: 5    	CLASS PART: ClassPart.MULTI_LINE_COMMENT	VALUE: /*.56 bcx.55.55.a5c
    char c="abc++=\"abc\\*/
LINE NUMBER: 5    	CLASS PART: STRING_CONSTANT     	VALUE: "abc"
LINE NUMBER: 5    	CLASS PART: IDENTIFIER          	VALUE: a
LINE NUMBER: 5    	CLASS PART: Operator            	VALUE: =
LINE NUMBER: 5    	CLASS PART: IDENTIFIER          	VALUE: b
LINE NUMBER: 5    	CLASS PART: Operator            	VALUE: =
LINE NUMBER: 5    	CLASS PART: IDENTIFIER          	VALUE: c
LINE NUMBER: 6    	CLASS PART: DATA_TYPE           	VALUE: string
LINE NUMBER: 6    	CLASS PART: IDENTIFIER          	VALUE: s
LINE NUMBER: 6    	CLASS PART: Operator            	VALUE: =
LINE NUMBER: 6    	CLASS PART: ClassPart.INVALID   	VALUE: '\'
LINE NUMBER: 6    	CLASS PART: Operator            	VALUE: +
LINE NUMBER: 6    	CLASS PART: ClassPart.INVALID   	VALUE: '
LINE NUMBER: 6    	CLASS PART: Operator            	VALUE: ++
LINE NUMBER: 6    	CLASS PART: ClassPart.INVALID   	VALUE: '
LINE NUMBER: 7    	CLASS PART: ClassPart.INVALID   	VALUE: '
LINE NUMBER: 7    	CLASS PART: Operator            	VALUE: +=
LINE NUMBER: 7    	CLASS PART: ClassPart.INVALID   	VALUE: 35'\
LINE NUMBER: 8    	CLASS PART: RETURN              	VALUE: return
LINE NUMBER: 8    	CLASS PART: IDENTIFIER          	VALUE: a
LINE NUMBER: 8    	CLASS PART: Operator            	VALUE: &&
LINE NUMBER: 8    	CLASS PART: Operator            	VALUE: ==
LINE NUMBER: 8    	CLASS PART: ClassPart.INVALID   	VALUE: @bc
LINE NUMBER: 9    	CLASS PART: IDENTIFIER          	VALUE: int
LINE NUMBER: 10   	CLASS PART: IDENTIFIER          	VALUE: _ava
LINE NUMBER: 10   	CLASS PART: Operator            	VALUE: =
LINE NUMBER: 10   	CLASS PART: INT_CONSTANT        	VALUE: 0
